name,address,category,veryPrice,paymentRatio,link
Graphics design,Ogbomoso,기타,0.007,70%,https://pay.verychat.io/shops/JAYZf
MAJESTY blocks industry,Zone8 junction lokoja kogi state of Nigeria,부동산/인테리어,10,50%,https://pay.verychat.io/shops/lFZmW
Uniquecare,Block 287 jakande estate isolo oshodi Lagos state,미용,-,50%,https://pay.verychat.io/shops/JbEtc
Kuliner Desa,Nglayut Rt 20 / Rw 004 Dlingo Mojosongo Boyolali,식당/카페,"$0,1",50%,https://pay.verychat.io/shops/XnafX
Assomad Global Multiservice Venture,https://maps.app.goo.gl/UamjTgevnygmAy5w5,기타,0.0072,30%,https://pay.verychat.io/shops/ckyBH
Genral store kirana,"Rada Nagar buland sahar uttar pradesh 
India 20311",기타,INR 10,50%,https://pay.verychat.io/shops/bdqAc
Tailoring and fashion,Kundila layin mai unguwa,패션/잡화,$1,50%,https://pay.verychat.io/shops/qZXox
DESFABENG COMPANY LIMITED,"Kidan Kwano, Niger state",패션/잡화,$2,50%,https://pay.verychat.io/shops/HPAch
Maman Maryam me Saida Ina yaji,"Federal low-cost, makama new Extension, opposite Salima bread,Bauchi state.",기타,50,50%,https://pay.verychat.io/shops/BNUgl
뉴욕네일,"광주광역시 서구 염화로 103, 825-12 뉴욕네일",미용,10원,100%,https://pay.verychat.io/shops/aKjhl
Toko Yati Sembako,"Jalan Manyar 66 Slawu, Patrang, Jember, Jawa Timur, Indonesia",기타,1,100%,https://pay.verychat.io/shops/ynLqr
MidCity hotel and Restaurant,48A karkhana Bazar Vehari,여행/숙박,Pkr 1.99,100%,https://pay.verychat.io/shops/ENaYY
Destiny and co,9 Felix nwasu street Igando Lagos Nigeria,부동산/인테리어,$0.03,50%,https://pay.verychat.io/shops/QyDNP
PT RUSSINDO,"Jl. Ampi No.9, Simpang Tiga, Kec. Bukit Raya, Kota Pekanbaru",기타,500 IDR,95%,https://pay.verychat.io/shops/UnyDQ
MDBINMUKHTAR PROVISION STORE,Ƙofar Arewa gidan Yahaya Mukhtar Nearest Shamsi S. Furo provision store .,기타,$0.35,50%,https://pay.verychat.io/shops/wVxWd
구룡포일출과메기 포항,경북 포항시 남구 해동로 63,기타,10원,30%,https://pay.verychat.io/shops/zXcVb
Yadav Genreal  Store,226/1 patel  garden kakrola village dwarka New delhi 110078 india,기타,Inr 0.65 $0.0072,50%,https://pay.verychat.io/shops/tzWuJ
Hassan tech,Meelad road faisalabad,사무기기,.1,50%,https://pay.verychat.io/shops/ulfVU
Quality store,Raiz colony Street no.1 bhawlpur,미용,1.9pkr.0.1$,50%,https://pay.verychat.io/shops/UtJmG
Nasi Kuning Slow,"Joho ,Kos nur buaidah",식당/카페,0.8,100%,https://pay.verychat.io/shops/csGtO
살라뽀 salappo,Panglao bohol,식당/카페,0.4,20%,https://pay.verychat.io/shops/ksPkv
Doguwa Field Talk Creative,No 10 Dalhatu road unguwan muazu Kaduna,기타,50,50%,https://pay.verychat.io/shops/jJLWP
Clazzicent clothing,Apata Yakuba,패션/잡화,$2,50%,https://pay.verychat.io/shops/FyFZc
Skycoff,"Jl. Ampi No.13, Simpang Tiga, Kec. Bukit Raya, Kota Pekanbaru, Riau 28284",식당/카페,1.5$ -   Varies,95%,https://pay.verychat.io/shops/pMItB
Provision,Yola Market Adamawa State,기타,0.0017,50%,https://pay.verychat.io/shops/ZbWhv
Muhay  communication and accessories,Maje road hadejia jigawa state. Opposite monie point bank,패션/잡화,50,50%,https://pay.verychat.io/shops/umPUP
동건채,진주시 정촌면 삼일로 12ㆍ번길 9-15,의료/건강,10,50%,https://pay.verychat.io/shops/EfrDc
Murmushin amarya enterprise Bajoga,Unguwar lasan Bajoga,패션/잡화,50,50%,https://pay.verychat.io/shops/nLOjZ
Hanees spices,U/rimi dikko road kaduna state,식당/카페,50,50%,https://pay.verychat.io/shops/hOjYe
Zeman stitches,"Block 20 baba dodo street kakuri Kaduna South, kaduna state.",패션/잡화,10NGN,50%,https://pay.verychat.io/shops/OJjWI
Amaks store,"11 babtunde shogbesan street,jakande estate isolo. Lagos state,
Nigeria.",기타,10#,25%,https://pay.verychat.io/shops/dTPMy
Ihab villa,https://share.google/ysaaRYokMRMtCeNtG,부동산/인테리어,1$,95%,https://pay.verychat.io/shops/wrQlT
웰빙농부들,충청북도 영동군 영동읍 가리 396번지 웰빙농부들,기타,5,50%,https://pay.verychat.io/shops/GNYKO
BOOM WASH(붐워시),진주시 삼일로 122 26(정촌면) 붐워시,기타,10,50%,https://pay.verychat.io/shops/TDrmC
Efya Store,HPW7+J52 Awoshie,기타,200,5%,https://pay.verychat.io/shops/VqXTv
(주)에스아이셀센터 진주지원센터,경남 진주시 동부로169번길 12 B동 502호,의료/건강,-,-,https://pay.verychat.io/shops/ZxCvB
Jubil Enterprise,"66 Oron Road, Uyo, Akwa Ibom State, Nigeria",기타,0.005,20%,https://pay.verychat.io/shops/zYdQO
주식회사 티지세라믹,인천시 서구 심곡로 135번지 대동아파트 103동 804호,부동산/인테리어,-,-,https://pay.verychat.io/shops/tCrmD
ML STYLISH COUTURE,GE-355-6897,패션/잡화,$0.001,5%,https://pay.verychat.io/shops/DfZgg
프렌즈원평스크린 비산점,"[네이버지도]
프렌즈스크린 비산점
경기 안양시 동안구 평촌대로374번길",기타,5원,50%,https://pay.verychat.io/shops/YQdAK
SHEBAH AKKA WHOLESALE PROVISION STORE,https://maps.app.goo.gl/Gxh9Rz8KudkEcBgo8?g_st=aw,가전/게임,0.005 $,50%,https://pay.verychat.io/shops/orPDY
Clothes vendor,Kwara state university,기타,0.001,70%,https://pay.verychat.io/shops/QwhpV
Mancy Fashion and Design,Unguwar Taiki primary school,패션/잡화,$0.75,50%,https://pay.verychat.io/shops/AqHqI
Fashion Design,"S,D Mornogram Shop 7 A&B Plaza Mararaba Nasarawa State",패션/잡화,0.0017,50%,https://pay.verychat.io/shops/NdxUs
HANAN GALLERY,Rafin guza mzaku street opposite GSS Rafin GUZA,패션/잡화,50,50%,https://pay.verychat.io/shops/zBJPY
pandawa keramik pamarayan,"panyabrangan, kec.cikeusal, kabupaten serang, banten 42176",부동산/인테리어,100,50%,https://pay.verychat.io/shops/sGtEj
beyouby _leey,Labam estate,패션/잡화,50,50%,https://pay.verychat.io/shops/tXSIE
SMS DIGITAL STUDIO,"MUKAMBAZAR,RAJNAGOR,MOULVIBAZAR,SYLHET,BANGLADESH",패션/잡화,BDT 0.01,100%,https://pay.verychat.io/shops/zmCoT
Ummusurayyah's Collection,"Damboa road off Almuneer college, Maiduguri.",패션/잡화,30%,70%,https://pay.verychat.io/shops/XEvry
KEDAI ARSUMBA MAZZA,Sumberagung RT02 RW04 Desa Selopanggung kecamatan semen kabupaten Kediri,식당/카페,1000,50%,https://pay.verychat.io/shops/Yzilk
Moduganari bus stop,Moduganari bus stop,미용,0.001,50%,https://pay.verychat.io/shops/HmghI
CRYPTO 101,ROMCHI MONARCH ENUGU,기타,500,50%,https://pay.verychat.io/shops/HCsCx
Bawa boring house and sentary store,Talab Chowk post office khas Budhla Sant District Multan,가전/게임,0.1$ 1pkr,50%,https://pay.verychat.io/shops/VIaZt
암산왕주산학원,부산 연제구 거제시장로22번길 76,기타,10원,50%,https://pay.verychat.io/shops/LmZxC
굿모닝사우나 컷트,"진주시 금산면 금산순환로22번길 4
굿모닝사우나 남탕",미용,10,50%,https://pay.verychat.io/shops/gOnNP
Zaeem Shea butter,Gamzaki opposite stadium kontagora Niger state,미용,30,70%,https://pay.verychat.io/shops/Tobfu
Toko alfatih jaya,https://maps.app.goo.gl/ianzog7zB3wyzY9KA,가전/게임,1,5%,https://pay.verychat.io/shops/GfiWI
GYEDU AUTO WORKS,https://maps.app.goo.gl/mguA1wrSniVanjSSA?g_st=awb,기타,Ghc20,30%,https://pay.verychat.io/shops/vPZSz
EliteTech Computer Solutions,"Plot 5, Tafawa Balewa Way, Opp. Federal Polytechnic Bauchi Main Gate, Bauchi State, Nigeria",기타,-,-,https://pay.verychat.io/shops/BdCqZ
Vegetables & Crops,Nepal,기타,0.005$,40%,https://pay.verychat.io/shops/oGWyl
BRIDGET CLOTHING'S,"Iseyin, Oyo state",기타,0.0007,70%,https://pay.verychat.io/shops/sYVFT
(주)기현,인천시 연수구 청학로 5번길 18 1층 101호,기타,7원,40%,https://pay.verychat.io/shops/LpYxW
베리블리스,대전 동구 충무로 255 103동 1004호 (온라인 센터),기타,-,-,https://pay.verychat.io/shops/JkLzX
Seybamlink Nigeria Ltd,54 Igando Road Ikotun Lagos,사무기기,0.05,50%,https://pay.verychat.io/shops/pHxva
Off Parade Cafe,"14 GTC Gorkha traning centre Subhatu District solan
State Himachal Pradesh 173206",식당/카페,-,-,https://pay.verychat.io/shops/ofCrL
워시테리아 봉담점,경기 화성시 봉담읍 와우안길 74-1,기타,10원,50%,https://pay.verychat.io/shops/LzXcV
업툰,전남 나주시 빛가람로 741 205호,식당/카페,7원 / 10원(초대코드),100%,https://pay.verychat.io/shops/DfGhJ
barata cell,"jl raya bojongloa harendong, kec.pamarayan kabupaten serang",패션/잡화,100,50%,https://pay.verychat.io/shops/LxxWk
Car wash,"Tegrena garyan

Car wash 

Beside gas ⛽ filling station",기타,0.05,35%,https://pay.verychat.io/shops/LwQaa
Lopez Clothing Shop,https://share.google/8uz9HyhHPo1UL8D1x,패션/잡화,1-1000,50%,https://pay.verychat.io/shops/pFaXY
Professional Digital Marker,Lautech Jupeb center Ogbomoso,기타,0.0007,50%,https://pay.verychat.io/shops/MXYSd
BUBUR BRAGA,"Jl. Bukit Umbul, Sumurboto, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50269",식당/카페,$1,20%,https://pay.verychat.io/shops/WdKMK
Senzo Phones And Accessories,Asante Bekwai,패션/잡화,GH¢0.008,5%,https://pay.verychat.io/shops/NUiAw
Electrical and Electronics repairer and solar service,"Ruflat shopping  complex, ogbooro road opposite Muslim hospital saki Oyo state",기타,0.007,60%,https://pay.verychat.io/shops/mLkaq
ABRAR GLOBAL TELECOMMS,"Magama gumau ,Toro local government area, Bauch state, Nigeria.",기타,$0.004 - $0.005,40%,https://pay.verychat.io/shops/XXTXD
Fishing intertement,Hayinna iya layin zaurawa,기타,50,50%,https://pay.verychat.io/shops/WNKvs
더나눔트레이딩,경남 진주시 문산읍 소문리 17번길 13-2,의료/건강,10,50%,https://pay.verychat.io/shops/lgxPx
Dairy product,"tillotoma-1,Butwal ,Nepal",기타,1 VERY@ 1 NPR,50%,https://pay.verychat.io/shops/ZnrTd
포휀,경기도 동두천시 동광로 298,식당/카페,5,20%,https://pay.verychat.io/shops/LhxHr
Elite gym,Elite gym belakang pegadaian madiun,사무기기,11000,100%,https://pay.verychat.io/shops/QXOCp
Provision,Hausari market,기타,0.0017,50%,https://pay.verychat.io/shops/NuJOl
Coffee shop,"Jl. Ciasin, Bendungan, Kec. Ciawi, Kabupaten Bogor, Jawa Barat 16720",식당/카페,0.007$,50%,https://pay.verychat.io/shops/CnuMB
ERI Store,"14, Seye Ogunlewe crescent, Igbogbo, Ikorodu, Lagos, Nigeria",기타,10NGN,50%,https://pay.verychat.io/shops/MpRzC
Aryan general kirana store,"Kolhiya past- dhadra tehsil AMARWARA Chhindwara Madhya Pradesh 480221
India",기타,INR 10 to $ 0.1,50%,https://pay.verychat.io/shops/rDaCt
Attainers Kiddies Montessori School,"25, Olanipeku Street, Oke-ira Ogba Lagos.",기타,#10,20%,https://pay.verychat.io/shops/kZUAI
aya da wake suya,Bungudu yar tasha,가전/게임,50,50%,https://pay.verychat.io/shops/CVNFG
Affiliate marketing,University of Ilorin,기타,0.007,60%,https://pay.verychat.io/shops/dqmzu
BODA COSMETICS,"Shop no 10 new market zanga area, zuru,872101",미용,10 Naira,50%,https://pay.verychat.io/shops/XCVLW
열린보청기,서울시 도봉구 도봉로736 1층,의료/건강,10,30%,https://pay.verychat.io/shops/VRGDZ
준에어시스템,인천시 부평구 부일로12,기타,10,50%,https://pay.verychat.io/shops/IBIgQ
Aarati Hotel,"Furkekhola,Gajuri-02 Dhading district Bagmati Province Nepal",식당/카페,-,-,https://pay.verychat.io/shops/TshZb
Uncle Sufee Farm,F55 Alfa Raja Road Ekowuna Ward Agaie Local Government in Niger State,반려동물,$2,50%,https://pay.verychat.io/shops/CSvNm
Family kitchen,Chitwan punamchokw,식당/카페,1 very 1 rs,50%,https://pay.verychat.io/shops/OULAT
Sonal Footwear,Samroli Chikhli Gujarat 396521,패션/잡화,-,-,https://pay.verychat.io/shops/CXwBm
ZAMANI CAPS,"Shop 002, Zc Area, zc area, near stadium, Zuru 872101, Kebbi",패션/잡화,10 naira,50%,https://pay.verychat.io/shops/nzovO
주식회사 서강,진주시 가호방아길 52-49,부동산/인테리어,10,50%,https://pay.verychat.io/shops/Nssov
Beastly promotions,"Plot 66A Ademola babalola street ,behind KDT ,Ajah",기타,0.1,50%,https://pay.verychat.io/shops/ezdjY
Gamerz Lodge,"5, Dejodairo street, Monatan, Iwo road, Ibadan.",가전/게임,1,50%,https://pay.verychat.io/shops/qIcEe
Eniesa Phone Consult,https://maps.app.goo.gl/hM1ZLZKxqPWq3PMz5,기타,0.0072,20%,https://pay.verychat.io/shops/YjOmC
Seblak Jeletot Teh Wina 7 Jatijajar,"Jl. Jatijajar 1 No.46, RT.03/RW.04, Jatijajar, Kec. Tapos, Kota Depok, Jawa Barat 16451",식당/카페,AUD $1,30%,https://pay.verychat.io/shops/LpkIk
Hay loundry,"Jl. Pasir Putih No.10, Simpang Tiga, Kec. Bukit Raya, Kota Pekanbaru, Riau 28284",기타,0.4$ - Varies,95%,https://pay.verychat.io/shops/eNHzO
S S Enterprise,"Anipur Bazar , Baruala Road 1st Shop,Vill- Saitrishhal, Pin - 788734, P.O - AnipurP.S- Ratabari,Dist- Karimganj (Sribhumi),State- Assam",패션/잡화,AUD $0.01,100%,https://pay.verychat.io/shops/VQedR
Mie ayam bakso kirno,"kec.pamarayan, kabupaten serang,banten",식당/카페,10,50%,https://pay.verychat.io/shops/UkHGY
Warung Makan Ki Bayul,"6.750053,111.028128 , Pati, Indonesia",식당/카페,0.7$,50%,https://pay.verychat.io/shops/KerRW
SAGIR FASHION HOUSE,"Shop no 00 opposite police station G.R.A street zc area, Zuru, 872101, Kebbi",패션/잡화,10 naira,50%,https://pay.verychat.io/shops/dZHgo
주식회사 엑셀리온,"부산시 영도구 태종로 727, 1110호 해양대학교 산학허브관",기타,-,-,https://pay.verychat.io/shops/OkFDm
maqil cake and cokiees,"sangiang pamarayan serang regaency, banten 42176",식당/카페,100,50%,https://pay.verychat.io/shops/yxPtd
Medicine Store,Yola Market Adamawa State,의료/건강,0.002,50%,https://pay.verychat.io/shops/ureov
Soto semarang pak tri,"62XH+X6 Puri, Kabupaten Pati, Jawa Tengah, Indonesia",식당/카페,0.5$,50%,https://pay.verychat.io/shops/sKhdH
지엠에이전트,부산 해운대구 센텀중앙로 90 큐비e센텀 807호,의료/건강,10원,30%,https://pay.verychat.io/shops/SdFgH
Freelancing graphics design,University of Ibadan,기타,0.007,65%,https://pay.verychat.io/shops/mZLpb
Dapur kota,"Jl candi mendut sel VII no 13 Tulusrejo kec Lowokwaru, kota Malang, Jawa Timur 65141",식당/카페,"10,000",50%,https://pay.verychat.io/shops/uNAfi
Sa'adatu Kitchens materials,"Malumfashi, Masari ƙafur market",기타,$0.04,50%,https://pay.verychat.io/shops/CTSrP
Dr Simon Exchange,"Adamawa state, Hong, Mbalwaha street.",사무기기,10,30%,https://pay.verychat.io/shops/nVjxo
BUKAR ELECTRICAL STORE.,Nayinawa Damaturu,패션/잡화,0.0022,50%,https://pay.verychat.io/shops/FWAoX
M.T Provisions Store,"Communal Area, Opposite Health centre, Isedo, Ila-orangun",식당/카페,-,-,https://pay.verychat.io/shops/MzdFE
위더스,"성남시 중원구 둔촌대로 425번길 19, 1층 위더스컴퓨터",사무기기,5원,100%,https://pay.verychat.io/shops/ERRUR
Snack's and more,Airport road aviation quarters Kano,식당/카페,50,50%,https://pay.verychat.io/shops/JQhrk
O7 Stores,HPX5+FH6 Awoshie,기타,$0.5,5%,https://pay.verychat.io/shops/GwqJK
Karyana store,Basti Hussain abad tehsil Kabirwala district khanewal,식당/카페,0.1,40%,https://pay.verychat.io/shops/iNOOz
인본푸드닥터,경기 화성시 노작로4길 5-26 1층,기타,10원,50%,https://pay.verychat.io/shops/aQwEr
Ayomide venture provisions store,9 chiwunzo street jakande estate canal view,기타,#10,55%,https://pay.verychat.io/shops/jhHOa
"Accessories, Gsm Spare part","Shop. No.26 Gidan Baba Na Begu, Bata market Kano.",패션/잡화,0.002,50%,https://pay.verychat.io/shops/fLZSW
연흥,경기도 김포시 대곶면 오니산로 52,기타,10,100%,https://pay.verychat.io/shops/FaZqz
Korasa Café,https://share.google/BV1CgmwrIiy7KcqEE,식당/카페,0.01,50%,https://pay.verychat.io/shops/raCTn
MSTKURNA PROVISION AND SOFT DRINKS STORE,https://share.google/VTCqgC24YEThWb2YW,기타,0.001,50%,https://pay.verychat.io/shops/adbEr
OLOHUNYO-LOVE GLOBAL SERVICES LTD,24b aribido street arepo ogun state Nigeria,부동산/인테리어,4 Naira,50%,https://pay.verychat.io/shops/NbpIr
Up Success Electronics and Electrical Store,https://maps.app.goo.gl/Qn2QrHVXwoyZTecn7?g_st=aw,기타,0.0072,30%,https://pay.verychat.io/shops/kuGXE
Asena Training camp,"Jl. Sendang Kamal, Sumber, Kraton, Kec. Maospati, Kabupaten Magetan, Jawa Timur 63392",의료/건강,5000,100%,https://pay.verychat.io/shops/CDzit
Ummita's kitchen and more,"14nh zuba road, kabalan doki",식당/카페,50,50%,https://pay.verychat.io/shops/DbjRl
제일컴퓨터세탁,진주시 진양호로 389 (신안동),기타,10원,50%,https://pay.verychat.io/shops/ODzRd
Glories Art,Marine drive Gwadar,패션/잡화,1 PKR,20%,https://pay.verychat.io/shops/BtJSz
Maman Abba voitec dising,Kano state bacirawa layin karamci lambar gida233,패션/잡화,50,50%,https://pay.verychat.io/shops/eQkbo
Khedr El Attar,"Home
39XJ+GFH, Sheraton Al Matar, El Nozha, Cairo Governorate 4471352 @30.098818,31.381234

Store
13 Al Moez Ldin Allah Al Fatmi, El-Gamaleya, El Gamaliya, Cairo Governorate 4331167, Egypt",기타,0.008,50%,https://pay.verychat.io/shops/jKlmK
Cafe kos ramayla,https://maps.app.goo.gl/aRokuLrWg8mvVNZr7?g_st=ac,식당/카페,1,20%,https://pay.verychat.io/shops/yOqrQ
Fareeda Tubers,119/5 Muhammad Barno Street Jos plateau State,기타,50,50%,https://pay.verychat.io/shops/fFgaj
Been Saleem adam,TUDUN NASARA DAKWA (DIE DIE ABUJA),패션/잡화,$0.01,50%,https://pay.verychat.io/shops/dPsiZ
Catering Bu uswah,jln raya tambak kamulyan banyumas jawa tengah Indonesia,식당/카페,Usd 1,50%,https://pay.verychat.io/shops/AVIJV
Ummunoor soft drinks,No. 7 Karaye road Unguwar Dosa,기타,$0.4,50%,https://pay.verychat.io/shops/XFTEf
ARIF STORE,"Reta Plot Shah Faisal Colony, Shah Faisal Town, 75230 Pakistan",기타,-,-,https://pay.verychat.io/shops/zUndF
RAJA BAKSO,Raja bakso madiun,식당/카페,7500,95%,https://pay.verychat.io/shops/tPrnq
전굽는아지매,경남 창원시 진해구 용원로 54-1 1층,식당/카페,변동,50%,https://pay.verychat.io/shops/ZxYtR
Kenangan caffe,Madiun,식당/카페,17000,90%,https://pay.verychat.io/shops/mqrzG
다해에어컨,인천시 남동구 구월말로 3번길 30,가전/게임,10,50%,https://pay.verychat.io/shops/yIoHi
Sady's stitches fashion design,"No102 beside emirate clinic nyikembe gurara juction, chanchaga local government Niger state Nigeria",패션/잡화,50%,50%,https://pay.verychat.io/shops/vjIDd
Furniture,Kaduna state Zaria City Lowcos Bakin Masallaci,패션/잡화,0.002 USDT,50%,https://pay.verychat.io/shops/AcQum
One pixel freelance and graphics,"Lautech college, Ogbomoso",기타,0.0007,50%,https://pay.verychat.io/shops/GGEgZ
Sauki Chemist Kurna Asabe layin mayanka,Kurna Asabe sauki Chemist kan mayanka,의료/건강,0.002,50%,https://pay.verychat.io/shops/OxKna
Cosmetics,MARADI AHMADU MODEL PRM,기타,50,50%,https://pay.verychat.io/shops/UISEJ
"Trade, Wholesale Firewood",Katsina state sabuwar unguwa,기타,0.004529,50%,https://pay.verychat.io/shops/lLCTO
Ruma Henna design,"Abba mai gyaran qofar mota, Gidan Baba shitu",미용,$0.005,50%,https://pay.verychat.io/shops/LRIqs
Mama Twins Supermarket,https://maps.app.goo.gl/LUpxUce6hkrKT8DbA,기타,0.0072,30%,https://pay.verychat.io/shops/oXheq
Vijay kirana store,"Muhiuddinpur-hisali, muradnagar Ghaziabad Uttar Pradesh 201206",기타,-,-,https://pay.verychat.io/shops/SsCdx
Airtime and data vendor,Lautech,기타,0.007,70%,https://pay.verychat.io/shops/DxZvh
Maman Teema Collections,FCE STAFF QUARTERS KONTAGORA NIGER STATE NIGERIA,패션/잡화,30,70%,https://pay.verychat.io/shops/UPepk
Jai ambey hotel,Piplia mandi mandsaur madhya pradesh 458664,식당/카페,0.62,10%,https://pay.verychat.io/shops/kJMfF
REALKING FOREX & LUXURY CARS,SHOP NO 001 OPPOSITE POLICE STATION ZC AREA ZURU LGA KEBBI STATE,식당/카페,-,-,https://pay.verychat.io/shops/FAMdR
오리궁뎅이 화정점,광주광역시 서구 월드컵4강로40-1,식당/카페,10원,100%,https://pay.verychat.io/shops/mAtbf
